Nummer,Material,Farbe,Infill-Muster,Schichthoehe (mm),Oberflaechenguete,Drucktemperatur (C),Betttemperatur (C),Druckgeschwindigkeit (mm/s),Infill (%),Wandstaerke (mm),Bauteilvolumen (cm3),Druckzeit (min),Zugfestigkeit (MPa),Erfolgreich,Bemerkungen
Druck Nr. 190,PETG,gelb,Gitter,0.2,mittel,236,64,100,20,0.8,121.9,,31.9,nein,Erstversuch
Druck Nr. 191,ABS,schwarz,Gitter,0.25,grob,240,84,90,30,2.0,47.2,100.0,24.6,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 192,PETG,transparent,Waben,0.1,fein,236,75,91,40,2.4,124.2,,40.0,ja,Oberflaeche leicht rau
Druck Nr. 193,ASA,gelb,Gitter,0.2,,252,70,71,100,2.4,69.9,420.0,42.4,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 194,ABS,,Gyroid,0.1,,245,94,67,50,1.2,25.9,230.0,30.1,ja,Zweitdruck nach Fehlversuch
Druck Nr. 195,PETG,schwarz,Gitter,0.2,mittel,235,87,86,50,2.0,15.3,50.0,39.1,ja,Referenzdruck fuer Serie
Druck Nr. 196,PLA,grau,Gyroid,0.25,,200,68,119,15,1.2,41.5,60.0,27.7,ja,Erstversuch
Druck Nr. 197,ASA,gelb,Waben,0.2,mittel,252,110,96,20,1.6,59.6,130.0,26.4,nein,keine besonderen Vorkommnisse
Druck Nr. 198,PLA,,Gyroid,0.25,grob,196,60,63,80,1.2,120.1,570.0,44.3,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 199,PLA,blau,Waben,0.15,,208,67,115,25,2.4,64.0,170.0,33.1,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 200,PLA,blau,Gitter,0.2,mittel,210,57,105,50,2.4,102.8,290.0,45.3,ja,Toleranzpruefung durchgefuehrt
