Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Verbrauch (g/km),Kilometerstand (km),Bemerkungen
mazda,Mazda 6,schwarz,03/2011,2011,8500,132,179,Schaltgetriebe,Diesel,"5,3 l/100 km",141 g/km,247000.0,Sport Kombi 2.2 CD DPF Sports-Line
nissan,Nissan Leaf,rot,07/2019,2019,24890,110,150,Automatik,Elektro,,0 g/km,40000.0,Leaf 40 kWh Tekna
opel,Opel Astra,silber,05/2021,2021,15990,96,131,Schaltgetriebe,Benzin,"4,3 l/100 km",102 g/km,33450.0,K Edition LED SHZ TEMPOMAT LHZ APPLE/ANDROID
renault,Renault Clio,weiß,12/2017,2017,16280,81,110,Schaltgetriebe,Diesel,"3,3 l/100 km",90 g/km,21381.0,Grandtour Bose Edition ENERGY dCi 110
ssangyong,SsangYong Actyon,schwarz,09/2007,2007,2500,110,150,Schaltgetriebe,Benzin,,330 g/km,147822.0,"Alus , neue Reifen / Bremsen , AHK"
volkswagen,Volkswagen Golf Variant,schwarz,06/2005,2005,3295,77,105,Schaltgetriebe,Benzin,7 l/100 km,168 g/km,269774.0,4 IV Kombi 1.6 Zahnriemen gew. TÜV 06/24 SR/WR
ford,Ford Puma,grau,06/2023,2023,33890,147,200,Schaltgetriebe,Benzin,"6,6 l/100 km",155 g/km,15.0,"ST X 1,5l PANO,ParkAssist,elHeckk."
ford,Ford Kuga,weiß,05/2014,2014,9900,103,140,Schaltgetriebe,Diesel,"5,3 l/100 km",- (g/km),178000.0,2.0 TDCi 2x4 SYNC
renault,Renault Grand Scenic,schwarz,07/2010,2010,3890,96,131,Schaltgetriebe,Diesel,"5,5 l/100 km",146 g/km,240000.0,III Dynamique/Isofix/8 Fach/Tempoma
volkswagen,Volkswagen Golf Variant,silber,06/2021,2021,24450,110,150,Automatik,Diesel,"4,6 l/100 km",121 g/km,51616.0,Golf VIII Variant 2.0 TDI *Life*LED*Navi*ACC*AHK*
bmw,BMW 220,grau,05/2016,2016,23800,141,192,Automatik,Benzin,"5,6 l/100 km",130 g/km,18000.0,Sportline+1.Hd.+LED+Kamera
ford,Ford Tourneo,grau,11/2019,2019,21850,74,101,Schaltgetriebe,Benzin,"5,9 l/100 km",135 g/km,34600.0,Connect Titanium
mazda,Mazda 6,schwarz,12/2016,2016,19990,121,165,Schaltgetriebe,Benzin,6 l/100 km,139 g/km,64094.0,Lim. Exclusive-Line Klima Spurhalteassist. NSW
kia,Kia Picanto,silber,06/2023,2023,14179,49,67,Schaltgetriebe,Benzin,"4,2 l/100 km",95 g/km,5000.0,1.0 VISION DESIGN PAKET
land-rover,Land Rover Discovery,grau,08/2018,2018,39950,177,241,Automatik,Diesel,"6,4 l/100 km",168 g/km,64262.0,SE 2.0 SD4 UPE - 70.298.- EUR LED SHZ
ford,Ford Focus,schwarz,12/2018,2018,15900,88,120,Automatik,Diesel,"4,4 l/100 km",116 g/km,84000.0,"1,5 TDCI Automatik ""Cool&Connect"""
alfa-romeo,Alfa Romeo MiTo,beige,07/2010,2010,3490,58,79,Schaltgetriebe,Benzin,"5,9 l/100 km",138 g/km,167000.0,1.4 16V
nissan,Nissan Qashqai,schwarz,11/2017,2017,19890,120,163,Schaltgetriebe,Benzin,"5,8 l/100 km",134 g/km,47715.0,1.6 DIG-T Tekna  NAPPALEDER MEMORY-SITZE
seat,SEAT Leon,weiß,03/2016,2016,10990,81,110,Schaltgetriebe,Diesel,"3,8 l/100 km",101 g/km,123400.0,1.6TDI Style Klimaauto./Navi/Bluetooth/EUR6
bmw,BMW X1,weiß,07/2020,2020,36500,162,220,Automatik,Hybrid,,51 km Reichweite,16700.0,X1 xDrive25e Sport Line
volkswagen,Volkswagen Caddy,braun,11/2010,2010,8500,75,102,Schaltgetriebe,Diesel,"5,7 l/100 km",149 g/km,205300.0,1.6 TDI  Trendline Zahnriemen Bremsen Radlager neu
seat,SEAT,weiß,03/2022,2022,39939,110,150,Automatik,Benzin,"1,4 l/100 km",33 g/km,18267.0,Formentor 1.4 e-Hybrid *Pano*Kamera*AHK
volkswagen,Volkswagen T5 Multivan,schwarz,11/2010,2010,17990,132,179,Automatik,Diesel,"8,1 l/100 km",214 g/km,212664.0,Comfortline/Nav/Klimaaut/Standhzg
volkswagen,Volkswagen up!,silber,11/2019,2019,9990,44,60,Schaltgetriebe,Benzin,"4,4 l/100 km",100 g/km,31880.0,/ 3 Türen / incl. Garantie / 2 Jahre Hu frei
fiat,Fiat 500X,schwarz,07/2016,2016,13490,88,120,Schaltgetriebe,Diesel,"4,1 l/100 km",109 g/km,125000.0,1.6 Multijet Cross Plus 4x2 *KLIMA*SHZ*NAVI
audi,Audi A3,schwarz,04/2009,2009,6250,103,140,Schaltgetriebe,Diesel,"4,4 l/100 km",115 g/km,245000.0,2.0 TDI DPF S line Sportpaket (plus)
audi,Audi A6,schwarz,02/2018,2018,33299,160,218,Automatik,Diesel,"4,6 l/100 km",119 g/km,76661.0,Avant 3.0 TDI S-Tronic + S-Line Selection
audi,Audi A5,grau,03/2014,2014,27980,180,245,Automatik,Diesel,,0 g/km,87611.0,Cabriolet 3.0 TDI quattro S-line S-Tronic NAV
renault,Renault Clio,weiß,11/2018,2018,9800,54,73,Schaltgetriebe,Benzin,"5,7 l/100 km",130 g/km,36000.0,Life IV Grandtour/1Hand/Scheckheftgepflegt/36000km
ford,Ford Fiesta,,06/2023,2023,22990,92,,Schaltgetriebe,Hybrid,5 l/100 km,114 g/km,59.0,"Titanium 1.0l MHEV Kamera,ACC,WinterP"
ford,Ford Focus,grau,05/2015,2015,15990,110,150,Automatik,Benzin,"6,1 l/100 km",140 g/km,35920.0,Lim. Titanium*BIXENON*SHZ*PDC*TOUCH*GRA*
audi,Audi A4,schwarz,07/2017,2017,25500,140,190,Automatik,Benzin,"5,6 l/100 km",129 g/km,64200.0,Avant 2.0 TFSI ultra sport
toyota,Toyota Yaris,,09/2019,2019,13000,82,111,Schaltgetriebe,Benzin,"4,8 l/100 km",109 g/km,28598.0,"1,5-Dual-VVT-iE"
volkswagen,Volkswagen Golf,weiß,03/2021,2021,24690,150,204,Automatik,Hybrid,"1,2 l/100 km",28 g/km,31127.0,1.4 eTSI DSG Style NAVI LED LM ACC MASSAGE
volvo,Volvo V40,blau,05/2015,2015,13700,84,114,Schaltgetriebe,Diesel,"3,8 l/100 km",101 g/km,120829.0,"Basis,2HD,NAVI,KLIMA,SCHECKHEFT,PDC,TEMPOMAT"
skoda,Skoda Fabia,blau,08/2021,2021,16150,70,95,Schaltgetriebe,Benzin,,0 g/km,25200.0,"Combi 1,0 TSI Ambition+Klima+Sitzheizung"
renault,Renault Megane,blau,08/2016,2016,15490,97,132,Schaltgetriebe,Benzin,"5,4 l/100 km",120 g/km,59166.0,ENERGY TCe 130 GT LINE LED ACC NAVI ALCANTARA DAB
mazda,Mazda 3,rot,05/2022,2022,25600,90,122,Automatik,Benzin,"5,4 l/100 km",122 g/km,7000.0,Lim. Automatik/5 Tür/Navi/Kamera/PDC/Sitz-Heiz
porsche,Porsche Cayenne,grau,12/2011,2011,34590,180,245,Automatik,Diesel,"7,2 l/100 km",189 g/km,49500.0,Diesel Tiptronic Porsche-Scheckheft!
ford,Ford Mondeo,schwarz,09/2015,2015,9750,88,120,Schaltgetriebe,Diesel,"3,8 l/100 km",99 g/km,203816.0,Turnier 1.5 TDCi ECOnetic Start-Stopp Business Edi
porsche,Porsche Cayenne,schwarz,05/2017,2017,59800,283,385,Automatik,Diesel,8 l/100 km,209 g/km,97000.0,S Diesel Platinum Edition Park-Assistent
seat,SEAT Leon,grau,04/2017,2017,24890,221,300,Automatik,Benzin,"7,2 l/100 km",164 g/km,45353.0,2.0 ST Cupra  4Drive +ACC+Kamera+Navi-Plus+
volkswagen,Volkswagen Caddy,beige,05/2019,2019,29890,110,150,Schaltgetriebe,Diesel,"6,5 l/100 km",169 g/km,52000.0,HL 2.0 TDI EU6 110 kW AHK PDC NAVI
bmw,BMW 520,schwarz,03/2012,2012,15390,135,184,Automatik,Diesel,"4,9 l/100 km",130 g/km,213900.0,d Touring*M SPORT*SHADOW*PANO*NAVI PROF*
dacia,Dacia Duster,schwarz,08/2019,2019,13979,84,114,Schaltgetriebe,Benzin,,0 g/km,31133.0,1. Hand Navi Tempomat Nebel DAB Sitzheizung Kamera
renault,Renault Clio,grau,04/2018,2018,18888,87,118,Schaltgetriebe,Benzin,"5,3 l/100 km",118 g/km,20492.0,IV 1.2 TCe 120 Limited Led Nav PDC DeLuxeP
renault,Renault Kadjar,schwarz,05/2018,2018,16880,96,131,Automatik,Benzin,,- (g/km),50000.0,"1.2 TCe SPURHALTE,HANDSFREE,NAVI,METALLIC"
mercedes-benz,Mercedes-Benz CLS 350,silber,02/2011,2011,17900,195,265,Automatik,Diesel,6 l/100 km,- (g/km),240000.0,CDI DPF BlueEFFICIENCY 7G-TRONIC
fiat,Fiat 500,schwarz,05/2019,2019,15685,51,69,Automatik,Benzin,"4,8 l/100 km",111 g/km,89000.0,Lounge
kia,Kia Soul,blau,12/2021,2021,29900,150,204,Automatik,Elektro,,0 g/km,17000.0,e- Vision incl. Tech-Paket. sofort verfügbar
toyota,Toyota Avensis,grau,05/2007,2007,4500,93,126,Schaltgetriebe,Diesel,"5,9 l/100 km",- (g/km),250000.0,2.0 D-4D Combi Executive
volvo,Volvo XC60,weiß,09/2016,2016,22300,110,150,Schaltgetriebe,Diesel,,- (g/km),92650.0,D3 Kinetic Bi-Xenon/Navi/Bluetooth/PDC/SHZ
audi,Audi A4,blau,07/2017,2017,29950,200,272,Automatik,Diesel,"5,4 l/100 km",142 g/km,89000.0,"Avant 3,0 quattro S-LINE/PLUS|LED|VIRTUAL|RFK"
citroen,Citroen C3,grau,06/2019,2019,14950,81,110,Schaltgetriebe,Benzin,"4,7 l/100 km",107 g/km,38585.0,"Origins,Kamera,Panoramadach,"
audi,Audi TT,grau,05/2014,2014,24444,125,170,Automatik,Diesel,"5,6 l/100 km",- (g/km),111000.0,TT Roadster 2.0 TDI quattro S tronic
bmw,BMW 750,schwarz,05/2016,2016,10990,330,449,Automatik,Benzin,"8,3 l/100 km",192 g/km,231000.0,i Long xDrive 4xMassage Laser M-Sportpaket
audi,Audi A6,blau,11/2009,2009,11400,140,190,Automatik,Diesel,"6,5 l/100 km",172 g/km,287000.0,A6 2.7 TDI*Aut*1 Hd*S-Line*Alcantara*HU/AU Neu*
skoda,Skoda Kodiaq,schwarz,02/2019,2019,33690,140,,Automatik,Diesel,"5,7 l/100 km",151 g/km,50481.0,Style 4x4 2.0 TDI StandHZG Panodach Navi Leder Mem
opel,Opel Karl,schwarz,08/2016,2016,9399,55,75,Schaltgetriebe,Benzin,"4,1 l/100 km",97 g/km,95051.0,Innovation Start/Stop
renault,Renault Clio,blau,03/2004,2004,1790,55,75,Schaltgetriebe,Benzin,"5,6 l/100 km",139 g/km,100871.0,Expression Confort II
skoda,Skoda Octavia,weiß,05/2021,2021,27900,110,150,Schaltgetriebe,Diesel,"3,9 l/100 km",103 g/km,35500.0,"IV 2,0 TDI  Combi Clever LED AHK Vorb."
renault,Renault Kadjar,weiß,11/2018,2018,14495,103,140,Schaltgetriebe,Benzin,"5,8 l/100 km",132 g/km,46739.0,TCe 140 LIFE--TÜV/AU NEU--
volkswagen,Volkswagen Golf,schwarz,02/2020,2020,22990,110,150,Automatik,Diesel,,114 g/km,67735.0,7 2.0TDI*HIGHLIN*DSG*PAN*NAVI*LED*LEDER*ACC
mercedes-benz,Mercedes-Benz CLA 45 AMG,grau,06/2022,2022,62890,285,387,Automatik,Benzin,9 l/100 km,204 g/km,8100.0,AMG CLA 45 4MATIC+ Shooting Brake HUD S-Sitz ACC
seat,SEAT Leon,blau,07/2018,2018,11980,110,150,Schaltgetriebe,Diesel,,112 g/km,135006.0,ST 2.0 TDI Xcellence PDC Lane-Assist
audi,Audi A4,silber,02/2013,2013,15500,125,170,Automatik,Benzin,6 l/100 km,139 g/km,114000.0,1.8 TFSI Avant AT NAVI XENON
kia,Kia Sportage,schwarz,07/2017,2017,20400,100,136,Schaltgetriebe,Diesel,"5,2 l/100 km",139 g/km,74090.0,2.0 CRDI AWD Dream Team Prem+/Leder/JBL/Navi
ford,Ford Kuga,rot,01/2021,2021,29950,140,190,Automatik,Diesel,,- (g/km),65700.0,2.0 EcoBlue ST-LINE X AHK LED ACC
bmw,BMW 320,grau,02/2008,2008,2500,130,177,Schaltgetriebe,Diesel,"5,6 l/100 km",149 g/km,260400.0,116i
mercedes-benz,Mercedes-Benz E 220,silber,06/2003,2003,4999,110,150,Automatik,Diesel,"7,5 l/100 km",197 g/km,245758.0,T CDI E -Klasse T-Modell (BM 211)
mercedes-benz,Mercedes-Benz S 320,schwarz,02/1996,1996,10500,170,231,Automatik,Benzin,,- (g/km),380156.0,Elegance guter Zustand Tüv Neu
volkswagen,Volkswagen Golf,grau,05/2017,2017,17980,81,110,Automatik,Benzin,"4,8 l/100 km",110 g/km,62900.0,VII Variant Trendline *Navi*PDC*Automatik
audi,Audi TT,grau,04/2010,2010,12450,147,200,Automatik,Benzin,"7,8 l/100 km",186 g/km,130820.0,2.0 TFSI Roadster*Automatik*Foliert*
opel,Opel Meriva,blau,04/2015,2015,9400,81,110,Schaltgetriebe,Diesel,"3,8 l/100 km",99 g/km,73200.0,"1.6 CDTI ecoflex  Edition, Lenkrad & Sitz"
skoda,Skoda Rapid/Spaceback,schwarz,10/2014,2014,9990,90,122,Automatik,Benzin,"5,8 l/100 km",134 g/km,127210.0,Rapid Spaceback 1.4 TSI DSG Ambition
peugeot,Peugeot 508,grau,09/2022,2022,29950,96,131,Automatik,Benzin,"4,9 l/100 km",112 g/km,9987.0,1.2 eTHP Allure Pack LED NAVI Stop & Go
volkswagen,Volkswagen Sharan,braun,12/2013,2013,18000,103,140,Schaltgetriebe,Diesel,"5,5 l/100 km",- (g/km),145000.0,2.0 TDI
opel,Opel Insignia,braun,07/2021,2021,17869,90,122,Automatik,Diesel,"4,1 l/100 km",109 g/km,67405.0,B Grand Sport 1.5 Elegance CAM
volkswagen,Volkswagen Taigo,grün,02/2023,2023,30820,81,110,Automatik,Benzin,"4,9 l/100 km",111 g/km,2500.0,1.0 TSI DSG R-Line MATRIX+NAV+AHK+BT+APP
audi,Audi Q5,grau,10/2009,2009,22990,125,170,Automatik,Diesel,"6,8 l/100 km",179 g/km,172000.0,2.0 TDI quattro Aut Bi-XENON LED/NAVI/NEU TÜV
volkswagen,Volkswagen Arteon,schwarz,10/2021,2021,52900,235,320,Automatik,Benzin,"7,7 l/100 km",177 g/km,20780.0,Shooting Brake R 2.0 TSI BMT DSG 4Motion Leder LED
bmw,BMW 440,grau,11/2016,2016,37800,240,326,Automatik,Benzin,"6,6 l/100 km",154 g/km,94101.0,i Coupe M Sport HeadUp LED Sportautomatik 360
volkswagen,Volkswagen Tiguan,schwarz,06/2023,2023,47840,140,190,Automatik,Benzin,"6,8 l/100 km",156 g/km,900.0,2.0 TSI 4M R-Line - AHK*Pano*Navi!!
volkswagen,Volkswagen Touareg,weiß,12/2013,2013,21000,180,245,Automatik,Diesel,"7,3 l/100 km",- (g/km),172000.0,Touareg 3.0 V6 TDI Blue Motion DPF Automatik Exclu
bmw,BMW 530,silber,06/2020,2020,38990,195,265,Automatik,Diesel,,- (g/km),53600.0,d Touring RFK Sitzh Leder adapt.LED 2-Z Tempo
skoda,Skoda Fabia,silber,05/2023,2023,25988,110,150,Automatik,Benzin,"4,8 l/100 km",125 g/km,10.0,1.5 TSI 150 DSG Monte Carlo Nav Pano 17Z
ford,Ford C-Max,blau,12/2015,2015,9990,74,101,Schaltgetriebe,Benzin,"5,1 l/100 km",117 g/km,95000.0,"1,0 Eco-Boost - Business Edition - Winterpaket"
mercedes-benz,Mercedes-Benz C 200,grau,05/2019,2019,27690,135,184,Automatik,Benzin,"6,2 l/100 km",155 g/km,59000.0,T 9G-Tronic Avantgarde Navi/Temp/Kamera/LE
ford,Ford Fiesta,weiß,06/2009,2009,5300,44,60,Schaltgetriebe,Benzin,"5,4 l/100 km",128 g/km,108491.0,Ka 1.2 Trend
volkswagen,Volkswagen Golf,schwarz,05/2018,2018,18750,92,125,Schaltgetriebe,Benzin,"5,4 l/100 km",125 g/km,62104.0,Sportsvan VII BMT/Start-Stopp Highline
dacia,Dacia,silber,06/2022,2022,24985,81,110,Schaltgetriebe,Benzin,"5,6 l/100 km",130 g/km,15.0,Extreme+ 1.0 TCe 110 7-Sitzer Navi+SHZ+KAMERA+PDC+
mini,MINI Cooper S,grau,02/2019,2019,23500,141,192,Schaltgetriebe,Benzin,"6,8 l/100 km",154 g/km,78000.0,2.0 John Cooper Works*Aut.*Led
opel,Opel Corsa,silber,03/2003,2003,1200,55,75,Schaltgetriebe,Benzin,"6,3 l/100 km",149 g/km,208000.0,1.7 CDTI Njoy
volkswagen,Volkswagen Golf,silber,05/2004,2004,3500,75,102,Schaltgetriebe,Benzin,"7,4 l/100 km",176 g/km,212558.0,1.6 Comfortline
volkswagen,Volkswagen Eos,schwarz,10/2006,2006,2599,110,150,Schaltgetriebe,Benzin,"8,2 l/100 km",- (g/km),155800.0,2.0 Individual Chrom
audi,Audi A1,weiß,12/2019,2019,18820,85,116,Schaltgetriebe,Benzin,"4,9 l/100 km",111 g/km,32255.0,Sportback 30 TFSI S line virtCo SHZ PDCplus
land-rover,Land Rover Defender,grün,04/2023,2023,110690,294,400,Automatik,Benzin,"9,9 l/100 km",227 g/km,4999.0,110 P400 75th Limited *1 of 200 in D*
bmw,BMW X1,orange,06/2022,2022,37890,131,178,Automatik,Benzin,"5,8 l/100 km",132 g/km,25375.0,sDrive20i Sport Line DAB LED Navi Komfortzg.
volkswagen,Volkswagen T5 California,silber,04/2010,2010,34600,132,179,Automatik,Diesel,"8,8 l/100 km",- (g/km),133000.0,Comfortline Standheizung Markise
renault,Renault Megane,grau,11/2022,2022,40199,160,218,Automatik,Elektro,,300 km Reichweite,10.0,E-Tech 100% ele Paket Evolution ER EV60 130
mercedes-benz,Mercedes-Benz E 350,grau,03/2010,2010,13890,170,231,Automatik,Diesel,"6,8 l/100 km",179 g/km,188052.0,Coupe CDI BlueEfficiency NAVI
bmw,BMW 320,braun,04/2014,2014,19999,135,184,Automatik,Diesel,"4,8 l/100 km",125 g/km,129800.0,320d Touring Modern Line LederXenonLED
citroen,Citroen C4 Picasso,grau,08/2007,2007,4990,80,109,Automatik,Diesel,"5,1 l/100 km",135 g/km,144000.0,1.6 HDi FAP EGS6 Exclusive
audi,Audi A3,silber,10/2014,2014,14899,110,150,Schaltgetriebe,Diesel,4 l/100 km,106 g/km,160051.0,Limousine MMI Navi plus touch TÜV neu
volkswagen,Volkswagen Passat,schwarz,12/2014,2014,17980,110,150,Schaltgetriebe,Benzin,"4,9 l/100 km",115 g/km,88145.0,1.4 TSI BMT Comfortline  Navi/Keyless-Start/Klima
mercedes-benz,Mercedes-Benz CLA 220,,09/2016,2016,16450,130,177,Automatik,Diesel,"4,2 l/100 km",108 g/km,204671.0,CDI / d CLA -Klasse Shooting Brake (BM 117)
mini,MINI Cooper S,grün,11/2019,2019,23960,141,192,Schaltgetriebe,Benzin,"6,4 l/100 km",147 g/km,36620.0,Mini 60 Years Trim LEDER+NAVI+ACC+LED++ Navi/BC
maserati,Maserati Ghibli,rot,03/2018,2018,72800,316,430,Automatik,Benzin,"11,1 l/100 km",252 g/km,47000.0,3.0 V6 GranSport S Q4/CARBON/KAMERA/B&W/
volkswagen,Volkswagen Golf GTI,rot,05/2012,2012,20000,173,235,Automatik,Benzin,8 l/100 km,185 g/km,62000.0,1.6 TDI (5-Si.) BMT Roncalli Edition
ford,Ford EcoSport,gelb,10/2019,2019,16790,92,125,Schaltgetriebe,Benzin,"5,3 l/100 km",119 g/km,24500.0,"Trend 1,0l Ecoboost"
mercedes-benz,Mercedes-Benz S 500,schwarz,08/2021,2021,135997,320,435,Automatik,Benzin,"7,8 l/100 km",178 g/km,40000.0,L 4-Matic AMG-Line Fond-Ent. Massage TV
renault,Renault Twingo,grau,04/2004,2004,1700,43,58,Schaltgetriebe,Benzin,"7,3 l/100 km",148 g/km,167000.0,Lazuli*TÜV 07/2023*SERVO*FALTDACH*
porsche,Porsche 992,gelb,01/2022,2022,173330,331,450,Automatik,Benzin,"9,6 l/100 km",220 g/km,3272.0,911 Carrera S Leichtbau Carbon PCCB PASM LED
fiat,Fiat 500X,schwarz,12/2017,2017,15800,103,140,Schaltgetriebe,Benzin,6 l/100 km,139 g/km,65500.0,1.4 Multiair 4x2 S&S S-Design City Look
hyundai,Hyundai KONA,schwarz,04/2018,2018,16490,88,120,Schaltgetriebe,Benzin,"5,2 l/100 km",117 g/km,89860.0,1.0 T-GDI Select
volkswagen,Volkswagen Passat,braun,11/2011,2011,9490,90,122,Schaltgetriebe,Benzin,"5,9 l/100 km",138 g/km,142000.0,2.0 Blue TDI SCR Comfortline
kia,Kia Soul,rot,04/2016,2016,12965,97,132,Schaltgetriebe,Benzin,"6,8 l/100 km",153 g/km,64090.0,1.6 Dream Team Sound & Navi Pak.|SHZ
mercedes-benz,Mercedes-Benz GLC 300,weiß,02/2023,2023,82998,190,258,Automatik,Benzin,"7,8 l/100 km",177 g/km,8050.0,4m AMG-PREMIUM-PLUS AIRMATIC AHK NIGHT
toyota,Toyota RAV 4,weiß,02/2017,2017,25480,145,197,Automatik,Hybrid,"5,2 l/100 km",122 g/km,87300.0,"2.5 HYBRID 4x4 EXECUTIVE 360GRAD,KEYLESS"
volkswagen,Volkswagen T-Cross,silber,03/2023,2023,25490,81,110,Automatik,Benzin,"6,2 l/100 km",141 g/km,1030.0,TSI DSG Style SmartNavi+LED+ACC+Kamera+SHZ+PDC+Kli
audi,Audi S5,schwarz,04/2014,2014,11300,245,333,Automatik,Benzin,"8,1 l/100 km",192 g/km,91750.0,Coupé 3.0 TFSI quattro 3.0 TFSI quattro
skoda,Skoda Karoq,grau,08/2018,2018,17990,85,116,Schaltgetriebe,Diesel,"4,3 l/100 km",114 g/km,92548.0,1.6 TDI Ambition GRA STHZG CLIMA SITZHZG MFL PDC
toyota,Toyota Auris,weiß,11/2018,2018,16500,73,99,Automatik,Hybrid,"3,9 l/100 km",91 g/km,65888.0,Hybrid Team D Garantie* nur 65.000 km*
citroen,Citroen Berlingo,grau,04/2020,2020,28490,96,131,Automatik,Benzin,"5,6 l/100 km",127 g/km,29500.0,Shine M
skoda,Skoda Citigo,weiß,04/2013,2013,7800,44,60,Automatik,Benzin,"4,4 l/100 km",103 g/km,48500.0,1.0 MPI Automatik Ambition
opel,Opel Corsa,blau,12/2021,2021,18990,74,101,Schaltgetriebe,Benzin,"4,3 l/100 km",98 g/km,9930.0,GS L.*LED*RFK*Virtual*KEYFree*Spurh*Tleder
bmw,BMW X5,rot,10/2016,2016,35990,230,313,Automatik,Diesel,"6,9 l/100 km",183 g/km,155450.0,Baureihe X5 xDrive40d/M-Sport/Leder/AHK/LED
volkswagen,Volkswagen Passat Variant,blau,07/2017,2017,15900,110,150,Schaltgetriebe,Benzin,"5,1 l/100 km",119 g/km,129000.0,1.4 TSI ACT (BlueMotion Technology) Comfortline
fiat,Fiat 500,rot,11/2020,2020,16590,51,69,Schaltgetriebe,Benzin,"4,1 l/100 km",93 g/km,9351.0,"1.0 (70PS) PDC, Klima, LM-Felgen"
bmw,BMW 530,blau,11/2008,2008,6400,173,235,Automatik,Diesel,"6,6 l/100 km",176 g/km,300000.0,530d
seat,SEAT Leon,grau,04/2021,2021,28490,204,277,Automatik,Hybrid,"1,5 l/100 km",0 g/km,35819.0,e-HYBRID 1.4 EU6d Sportstourer FR e-Hybrid 150KW(2
mercedes-benz,Mercedes-Benz E 300,schwarz,10/2010,2010,9800,170,231,Automatik,Diesel,"7,3 l/100 km",191 g/km,300000.0,T CDI BlueEfficiency 7G-Tronic Avantgarde
audi,Audi Q3,,11/2017,2017,18859,110,150,Schaltgetriebe,Diesel,"4,4 l/100 km",117 g/km,165575.0,2.0 TDI AAC  Xenon Navi Kam AHK
audi,Audi S6,rot,12/2019,2019,48830,257,349,Automatik,Diesel,"6,5 l/100 km",171 g/km,113784.0,Avant TDI quattro AHK B&O HD Matrix LED 360°Kamera
dacia,Dacia Dokker,blau,06/2017,2017,9999,85,116,Schaltgetriebe,Benzin,"5,7 l/100 km",130 g/km,92680.0,1.2 TCe 115 Stepway CELEBRATION Klima
mazda,Mazda CX-3,blau,02/2019,2019,20240,89,121,Automatik,Benzin,"6,1 l/100 km",161 g/km,41399.0,2.0 Skyactiv-G Sports-Line Aut.*NAVI*PDC
smart,smart forFour,rot,10/2019,2019,17250,60,82,Automatik,Elektro,163 km (Ort),120 km Reichweite,13757.0,EQ prime Navi Leder Pano SH PDC BT Apps
ford,Ford Focus,braun,04/2014,2014,6950,74,101,Schaltgetriebe,Benzin,"4,8 l/100 km",112 g/km,152894.0,Turnier 1.0 EcoBoost Start-Stopp-System SYNC Editi
ford,Ford Fiesta,silber,12/2019,2019,13799,63,86,Schaltgetriebe,Benzin,,- (g/km),6950.0,1.1 COOL&CONNECT
bmw,BMW 320,weiß,03/2020,2020,33880,135,184,Automatik,Benzin,"5,7 l/100 km",130 g/km,33168.0,"i LIVECOCKPIT,GLASDACH,KEYLESS,KAMERA,SH,1HD"
ferrari,Ferrari 488,weiß,01/2018,2018,269900,492,669,Automatik,Benzin,"11,4 l/100 km",260 g/km,12000.0,*NAVI*LIFT*Racing*RFK*PDC**Mietkauf
mercedes-benz,Mercedes-Benz Viano,,01/2005,2005,6500,110,150,Automatik,Diesel,"8,6 l/100 km",227 g/km,310000.0,2.2 CDI extralang Ambiente
mercedes-benz,Mercedes-Benz A 180,grau,05/2016,2016,13990,90,122,Schaltgetriebe,Benzin,"5,6 l/100 km",131 g/km,112900.0,A -Klasse 180 STYLE/LED/SHZ/NAVI/PDC/MERCEDES ME
seat,SEAT Leon,grau,03/2022,2022,23880,81,110,Automatik,Benzin,"5,5 l/100 km",127 g/km,34800.0,Sportstourer 1.0 eTSI Style DSG AHK LED Navi
skoda,Skoda Scala,silber,07/2022,2022,26990,81,110,Automatik,Benzin,"4,7 l/100 km",111 g/km,9999.0,"1,0 TSI DSG Clever NAVI*EL.HECKKL*KAM*KESSY*LED"
opel,Opel Adam,rot,03/2016,2016,10399,74,101,Schaltgetriebe,Benzin,"5,5 l/100 km",130 g/km,55800.0,1.4 16V SLAM Sportpaket PDC SHZ MFL
skoda,Skoda Scala,blau,05/2023,2023,19990,81,110,Schaltgetriebe,Benzin,"4,9 l/100 km",119 g/km,15.0,"1.0 TSI Cool Plus *LED*SHZ*SMARTLINK*TEMPO*PDC*16"""
mini,MINI One Cabrio,schwarz,05/2019,2019,18890,75,102,Schaltgetriebe,Benzin,"5,6 l/100 km",127 g/km,24626.0,(F57)
ford,Ford Focus,weiß,09/2014,2014,9499,92,125,Schaltgetriebe,Benzin,5 l/100 km,119 g/km,91111.0,Lim. SYNC Edition *Bremsen+Zahnriemen NEU*
audi,Audi TTS,grau,12/2016,2016,34500,228,310,Automatik,Benzin,"6,7 l/100 km",- (g/km),65000.0,Audi TT Coupe S tronic
volkswagen,Volkswagen Golf,schwarz,10/2009,2009,7599,90,,Schaltgetriebe,Benzin,"6,2 l/100 km",144 g/km,118000.0,Golf 1.4 TSI Comfortline
ford,Ford Kuga,blau,07/2016,2016,15790,110,150,Schaltgetriebe,Benzin,"6,2 l/100 km",143 g/km,79062.0,1.5 EcoBoost 2x4 Titanium
fiat,Fiat 500X,schwarz,07/2016,2016,14600,103,140,Automatik,Diesel,"5,5 l/100 km",144 g/km,118550.0,Cross 4x4 *NAVI*TEMPOMAT*
