Nummer,Material,Farbe,Infill-Muster,Schichthoehe (mm),Oberflaechenguete,Drucktemperatur (C),Betttemperatur (C),Druckgeschwindigkeit (mm/s),Infill (%),Wandstaerke (mm),Bauteilvolumen (cm3),Druckzeit (min),Zugfestigkeit (MPa),Erfolgreich,Bemerkungen
Druck Nr. 190,PLA,transparent,Gitter,0.1,fein,202,37,50,100,1.2,18.2,310,53.1,ja,Oberflaeche leicht rau
Druck Nr. 191,PETG,rot,Linear,0.25,grob,241,104,41,30,0.8,63.3,300,28.4,ja,keine besonderen Vorkommnisse
Druck Nr. 192,ASA,rot,Waben,0.25,grob,258,92,92,60,0.8,42.6,120,30.3,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 193,PLA,weiß,Linear,0.3,grob,211,55,83,100,0.8,26.2,90,49.2,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 194,PETG,grau,Gyroid,0.25,grob,241,74,64,10,0.8,60.3,140,25.2,ja,Erstversuch
Druck Nr. 195,PETG,blau,Waben,0.25,grob,230,77,68,100,1.2,117.7,590,46.3,ja,Erstversuch
Druck Nr. 196,PETG,grau,Gyroid,0.25,grob,244,65,40,40,2.0,118.8,630,30.4,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 197,PETG,blau,Linear,0.25,grob,230,85,37,10,2.4,47.2,190,22.5,ja,Referenzdruck fuer Serie
Druck Nr. 198,PLA,rot,Waben,0.2,mittel,199,61,82,80,1.2,128.9,580,45.9,ja,Zweitdruck nach Fehlversuch
Druck Nr. 199,PLA,blau,Waben,0.2,mittel,193,47,43,60,1.2,38.1,280,41.3,ja,Erstversuch
Druck Nr. 200,PETG,rot,Linear,0.25,grob,241,75,97,50,1.6,48.3,120,36.5,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 201,PLA,schwarz,Linear,0.3,grob,210,59,60,80,2.4,96.2,400,47.9,ja,Zweitdruck nach Fehlversuch
Druck Nr. 202,PETG,schwarz,Gyroid,0.1,fein,238,80,42,80,2.4,48.4,850,47.6,ja,Zweitdruck nach Fehlversuch
Druck Nr. 203,PLA,weiß,Gyroid,0.15,fein,212,49,75,10,2.4,69.1,230,28.3,ja,keine besonderen Vorkommnisse
Druck Nr. 204,ASA,blau,Gyroid,0.15,fein,252,102,79,80,0.8,122.4,770,39.5,nein,Erstversuch
Druck Nr. 205,PLA,schwarz,Linear,0.2,mittel,191,52,98,50,1.6,31.5,90,33.3,ja,Oberflaeche leicht rau
Druck Nr. 206,PETG,grau,Gitter,0.2,mittel,239,101,61,100,1.6,116.7,810,44.4,ja,Zweitdruck nach Fehlversuch
Druck Nr. 207,PETG,orange,Waben,0.15,fein,232,93,69,10,1.6,85.7,310,25.2,ja,Oberflaeche leicht rau
Druck Nr. 208,ABS,grau,Gitter,0.3,grob,248,99,102,50,0.8,129.3,250,24.5,nein,keine besonderen Vorkommnisse
Druck Nr. 209,ABS,rot,Gyroid,0.2,mittel,246,121,87,80,2.0,124.0,530,37.1,nein,Oberflaeche leicht rau
Druck Nr. 210,PLA,orange,Waben,0.2,mittel,209,43,77,10,2.0,52.0,130,29.1,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 211,PETG,blau,Waben,0.3,grob,247,70,37,60,0.8,50.1,290,29.3,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 212,ABS,grau,Linear,0.2,mittel,237,90,41,100,2.0,123.3,1270,38.1,nein,keine besonderen Vorkommnisse
Druck Nr. 213,ASA,grau,Waben,0.15,fein,263,99,50,80,2.4,56.4,560,38.4,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 214,PETG,weiß,Gyroid,0.2,mittel,228,88,96,40,0.8,116.8,320,34.1,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 215,ASA,rot,Gyroid,0.2,mittel,259,97,80,80,1.6,118.9,550,41.8,ja,keine besonderen Vorkommnisse
Druck Nr. 216,PETG,blau,Waben,0.1,fein,243,71,58,80,1.6,47.2,600,40.4,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 217,PLA,gelb,Gitter,0.25,grob,206,33,41,15,2.4,76.4,300,28.8,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 218,PLA,gelb,Waben,0.3,grob,202,20,90,100,1.6,16.7,50,49.1,nein,Zweitdruck nach Fehlversuch
Druck Nr. 219,ASA,blau,Waben,0.2,mittel,258,106,108,20,0.8,134.3,270,25.7,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 220,PETG,gelb,Gitter,0.2,mittel,243,95,62,40,2.4,125.5,540,34.3,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 221,ASA,weiß,Gyroid,0.1,fein,257,106,89,20,2.4,139.5,670,28.5,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 222,ABS,grau,Waben,0.15,fein,249,100,34,80,2.4,36.4,530,37.7,ja,keine besonderen Vorkommnisse
Druck Nr. 223,PLA,grau,Waben,0.25,grob,195,73,31,10,1.2,24.0,120,23.1,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 224,PETG,gelb,Linear,0.15,fein,233,102,93,10,2.4,63.9,170,24.7,ja,Referenzdruck fuer Serie
Druck Nr. 225,ASA,rot,Linear,0.15,fein,260,114,95,100,1.2,118.0,700,39.2,nein,keine besonderen Vorkommnisse
Druck Nr. 226,ABS,orange,Linear,0.15,fein,240,107,36,30,1.6,16.2,140,27.3,ja,Oberflaeche leicht rau
Druck Nr. 227,ASA,rot,Gyroid,0.15,fein,253,97,71,25,1.6,130.7,560,28.3,ja,keine besonderen Vorkommnisse
Druck Nr. 228,ABS,grau,Gitter,0.15,fein,242,92,95,10,2.0,24.0,60,20.6,nein,Erstversuch
Druck Nr. 229,ASA,schwarz,Gyroid,0.15,fein,256,109,40,100,1.2,60.6,850,42.4,ja,Referenzdruck fuer Serie
Druck Nr. 230,PLA,transparent,Linear,0.1,fein,193,37,115,40,2.4,19.4,90,39.1,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 231,ASA,blau,Gitter,0.3,grob,246,119,67,10,1.2,42.9,80,15.7,ja,keine besonderen Vorkommnisse
Druck Nr. 232,ABS,grau,Linear,0.25,grob,246,91,45,50,1.6,52.6,270,27.4,nein,Oberflaeche leicht rau
Druck Nr. 233,ABS,weiß,Gyroid,0.1,fein,248,137,43,15,1.2,57.7,540,22.7,nein,Zweitdruck nach Fehlversuch
Druck Nr. 234,PETG,rot,Gyroid,0.15,fein,247,108,80,60,1.6,81.6,430,34.8,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 235,PETG,gelb,Waben,0.3,grob,250,82,61,20,2.0,61.6,140,19.6,nein,keine besonderen Vorkommnisse
Druck Nr. 236,ASA,rot,Gyroid,0.15,fein,254,73,119,60,2.0,121.8,430,35.7,nein,Erstversuch
Druck Nr. 237,PLA,rot,Waben,0.2,mittel,188,66,116,40,1.2,37.8,90,26.6,ja,Erstversuch
Druck Nr. 238,ASA,rot,Waben,0.15,fein,255,88,113,50,1.2,139.4,480,32.1,nein,keine besonderen Vorkommnisse
Druck Nr. 239,ABS,weiß,Gyroid,0.25,grob,233,101,74,25,0.8,139.8,340,17.4,ja,keine besonderen Vorkommnisse
Druck Nr. 240,PLA,weiß,Gitter,0.15,fein,195,44,84,10,1.2,91.2,270,25.7,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 241,ASA,rot,Linear,0.1,fein,262,104,33,30,2.0,117.6,1710,28.2,ja,Referenzdruck fuer Serie
Druck Nr. 242,PETG,grau,Gitter,0.25,grob,239,94,79,10,2.0,48.1,90,22.4,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 243,ASA,gelb,Gitter,0.25,grob,249,88,43,15,0.8,47.1,180,22.0,nein,Erstversuch
Druck Nr. 244,PLA,grau,Gitter,0.25,grob,199,52,47,15,1.6,30.3,100,31.0,ja,Referenzdruck fuer Serie
Druck Nr. 245,ABS,blau,Gyroid,0.3,grob,252,120,53,15,2.4,113.6,290,18.7,ja,Referenzdruck fuer Serie
Druck Nr. 246,ASA,grau,Waben,0.25,grob,250,79,92,10,2.0,126.0,210,16.5,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 247,PETG,grau,Waben,0.2,mittel,236,60,106,15,2.4,19.7,40,24.9,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 248,PETG,gelb,Linear,0.1,fein,247,82,83,60,1.6,56.5,430,34.0,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 249,ABS,grau,Linear,0.25,grob,256,88,94,80,1.6,57.9,180,33.6,nein,keine besonderen Vorkommnisse
Druck Nr. 250,PLA,orange,Gitter,0.3,grob,204,44,41,40,1.2,125.4,540,37.5,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 251,PETG,schwarz,Gyroid,0.15,fein,239,77,79,80,1.2,103.6,650,46.9,ja,keine besonderen Vorkommnisse
Druck Nr. 252,PLA,weiß,Waben,0.1,fein,214,53,38,100,1.2,64.1,1430,50.5,ja,Zweitdruck nach Fehlversuch
Druck Nr. 253,PETG,transparent,Gitter,0.25,grob,235,60,100,15,1.6,88.0,140,24.4,nein,Oberflaeche leicht rau
Druck Nr. 254,PETG,transparent,Linear,0.2,mittel,232,80,85,30,2.4,101.3,290,31.8,ja,Zweitdruck nach Fehlversuch
Druck Nr. 255,PETG,rot,Linear,0.25,grob,231,63,49,15,2.0,126.6,420,24.9,nein,Zweitdruck nach Fehlversuch
Druck Nr. 256,PLA,gelb,Waben,0.3,grob,198,29,58,10,2.4,44.7,100,25.4,nein,Zweitdruck nach Fehlversuch
Druck Nr. 257,PLA,gelb,Gyroid,0.3,grob,206,56,109,40,2.0,33.3,50,36.4,ja,keine besonderen Vorkommnisse
Druck Nr. 258,PETG,orange,Gitter,0.2,mittel,236,59,88,100,2.0,135.9,650,48.0,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 259,ABS,weiß,Waben,0.15,fein,231,93,90,80,1.6,134.5,740,29.3,nein,Zweitdruck nach Fehlversuch
Druck Nr. 260,ABS,grau,Gitter,0.3,grob,245,117,105,30,1.6,49.8,80,23.5,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 261,ASA,rot,Waben,0.1,fein,256,124,110,60,0.8,99.0,570,33.4,nein,Referenzdruck fuer Serie
Druck Nr. 262,PETG,rot,Waben,0.25,grob,232,103,57,20,2.4,82.0,250,30.1,nein,keine besonderen Vorkommnisse
Druck Nr. 263,PLA,grau,Gitter,0.25,grob,186,38,46,25,1.2,91.8,360,22.5,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 264,PLA,gelb,Gyroid,0.1,fein,205,20,62,60,0.8,26.0,270,45.1,ja,Referenzdruck fuer Serie
Druck Nr. 265,ASA,schwarz,Linear,0.2,mittel,264,89,66,80,2.0,36.5,200,37.8,nein,keine besonderen Vorkommnisse
Druck Nr. 266,ABS,rot,Gyroid,0.3,grob,247,69,61,30,2.4,124.7,330,21.2,nein,Referenzdruck fuer Serie
Druck Nr. 267,PETG,orange,Gyroid,0.3,grob,225,61,56,50,1.2,42.7,150,34.0,nein,Zweitdruck nach Fehlversuch
Druck Nr. 268,PETG,rot,Linear,0.1,fein,237,61,111,30,0.8,45.5,200,32.8,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 269,PLA,weiß,Gyroid,0.1,fein,206,64,44,40,0.8,44.3,540,38.9,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 270,PLA,weiß,Waben,0.25,grob,202,37,63,20,2.4,45.2,120,31.1,ja,Referenzdruck fuer Serie
Druck Nr. 271,ASA,orange,Linear,0.2,mittel,238,111,111,10,1.6,74.6,130,13.6,nein,keine besonderen Vorkommnisse
Druck Nr. 272,PETG,transparent,Linear,0.25,grob,234,63,57,80,1.2,43.3,230,41.3,nein,Referenzdruck fuer Serie
Druck Nr. 273,ABS,schwarz,Gyroid,0.25,grob,236,123,113,80,2.4,68.5,180,33.4,nein,Zweitdruck nach Fehlversuch
Druck Nr. 274,PETG,weiß,Gyroid,0.1,fein,224,78,98,20,1.2,54.9,240,22.3,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 275,PLA,transparent,Gyroid,0.3,grob,204,82,115,30,1.6,131.4,180,34.1,nein,Oberflaeche leicht rau
Druck Nr. 276,ABS,transparent,Linear,0.1,fein,231,98,62,100,2.0,136.0,1850,33.7,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 277,PETG,weiß,Gyroid,0.1,fein,230,58,30,25,2.0,34.4,520,28.2,nein,Referenzdruck fuer Serie
Druck Nr. 278,ABS,grau,Gitter,0.2,mittel,236,111,107,15,1.6,94.5,180,21.8,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 279,ASA,grau,Linear,0.25,grob,254,100,57,40,0.8,94.0,350,27.6,ja,keine besonderen Vorkommnisse
Druck Nr. 280,PETG,orange,Gyroid,0.2,mittel,234,93,31,30,1.2,127.3,990,26.8,ja,Referenzdruck fuer Serie
Druck Nr. 281,PLA,grau,Linear,0.2,mittel,201,42,49,100,2.4,103.8,900,56.7,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 282,PLA,blau,Gitter,0.1,fein,207,41,97,25,0.8,131.8,620,32.7,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 283,PLA,grau,Linear,0.15,fein,198,60,63,40,2.0,44.8,250,40.2,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 284,PLA,weiß,Linear,0.2,mittel,216,39,114,60,1.2,99.6,280,40.8,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 285,ABS,schwarz,Gitter,0.3,grob,242,94,88,80,2.0,75.7,210,35.7,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 286,ABS,gelb,Linear,0.25,grob,250,65,60,10,1.6,130.2,330,16.5,nein,keine besonderen Vorkommnisse
Druck Nr. 287,PETG,rot,Gyroid,0.2,mittel,238,86,97,60,1.6,60.5,200,40.8,ja,keine besonderen Vorkommnisse
Druck Nr. 288,PLA,grau,Gitter,0.1,fein,189,50,89,80,0.8,121.6,1010,40.1,ja,Oberflaeche leicht rau
Druck Nr. 289,PETG,rot,Waben,0.25,grob,241,95,84,50,1.2,99.6,280,34.1,ja,keine besonderen Vorkommnisse
Druck Nr. 290,PETG,gelb,Waben,0.3,grob,238,60,107,15,2.0,62.2,80,28.0,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 291,ASA,transparent,Waben,0.1,fein,267,106,52,40,1.6,77.5,790,27.0,nein,Erstversuch
Druck Nr. 292,ASA,rot,Waben,0.2,mittel,250,115,76,50,2.0,42.6,160,34.1,ja,Oberflaeche leicht rau
Druck Nr. 293,ABS,transparent,Linear,0.1,fein,256,88,81,60,2.0,33.7,270,32.0,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 294,ASA,grau,Waben,0.15,fein,251,93,41,10,1.2,138.2,850,18.9,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 295,PLA,gelb,Gitter,0.25,grob,205,44,42,15,1.6,68.5,260,29.5,ja,Referenzdruck fuer Serie
Druck Nr. 296,PLA,gelb,Waben,0.2,mittel,203,63,52,25,1.6,133.3,580,34.6,ja,Oberflaeche leicht rau
Druck Nr. 297,ASA,blau,Gitter,0.25,grob,256,83,113,15,0.8,111.9,160,22.4,nein,Erstversuch
Druck Nr. 298,PETG,grau,Waben,0.1,fein,231,66,62,100,2.4,81.1,1110,46.2,ja,Zweitdruck nach Fehlversuch
Druck Nr. 299,ASA,grau,Gitter,0.2,mittel,257,126,117,100,1.2,49.7,180,43.1,nein,Oberflaeche leicht rau
Druck Nr. 300,PLA,schwarz,Gitter,0.2,mittel,213,48,41,10,2.4,68.8,320,32.6,ja,Toleranzpruefung durchgefuehrt
