Nummer,Material,Farbe,Infill-Muster,Schichthoehe (mm),Oberflaechenguete,Drucktemperatur (C),Betttemperatur (C),Druckgeschwindigkeit (mm/s),Infill (%),Wandstaerke (mm),Bauteilvolumen (cm3),Druckzeit (min),Zugfestigkeit (MPa),Erfolgreich,Bemerkungen
Druck Nr. 190,ABS,schwarz,Linear,0.3,grob,251,87,87,40,2.4,138.4,280,22.6,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 191,PLA,transparent,Waben,0.15,fein,222,73,96,15,2.4,139.7,390,24.3,ja,Erstversuch
Druck Nr. 192,ABS,grau,Gitter,0.2,mittel,243,118,68,40,2.4,130.0,510,30.3,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 193,PLA,gelb,Gitter,0.2,mittel,217,30,59,50,2.4,25.6,130,41.4,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 194,PLA,orange,Gyroid,0.3,grob,208,77,82,30,0.8,135.4,260,31.1,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 195,PETG,blau,Linear,0.15,fein,227,87,62,15,2.0,135.9,590,24.2,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 196,ABS,blau,Gyroid,0.15,fein,244,108,81,100,1.6,103.7,720,42.7,ja,Erstversuch
Druck Nr. 197,ASA,schwarz,Linear,0.15,fein,267,111,52,30,0.8,41.0,250,24.7,ja,keine besonderen Vorkommnisse
Druck Nr. 198,ABS,schwarz,Linear,0.3,grob,232,99,99,30,2.0,85.9,140,20.0,ja,keine besonderen Vorkommnisse
Druck Nr. 199,PLA,weiß,Linear,0.25,grob,205,63,73,40,2.4,122.6,360,40.4,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 200,PLA,orange,Linear,0.25,grob,206,49,38,100,1.6,121.6,1080,54.2,ja,Erstversuch
