Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Kilometerstand (km),Bemerkungen,Zustand
hyundai,Hyundai i30,schwarz,08/2022,2022,19990,88,120,Schaltgetriebe,Benzin,5.0,15341.0,1.0 Turbo 48V Trend Klima DAB Apple Android,junger Gebrauchtwagen
mini,MINI Cooper S Cabrio,weiß,05/2009,2009,12250,141,192,Schaltgetriebe,Benzin,7.1,118000.0,Mini One,Gebrauchtwagen
audi,Audi A8,schwarz,01/2016,2016,35970,193,262,Automatik,Diesel,6.0,132836.0,3.0 TDI qu. Tiptr. MASSAGE-HuD-NIGHT-STANDHZG,Gebrauchtwagen
bmw,BMW 530,grau,02/2017,2017,26999,195,265,Automatik,Diesel,5.0,223480.0,Baureihe 5 Lim. 530 d xDrive Luxury Line,Gebrauchtwagen
ford,Ford Tourneo Custom,schwarz,03/2023,2023,52490,125,170,Automatik,Diesel,8.8,35.0,TOURNEO CUSTOM 2.0 TDCI AUTO. 320 L1 TITANIUM NAVI,Jahreswagen
audi,Audi A3,blau,02/2003,2003,750,75,102,Schaltgetriebe,Benzin,6.8,232400.0,A3 1.6 Ambition,Gebrauchtwagen
mazda,Mazda CX-5,schwarz,05/2019,2019,26990,135,184,Schaltgetriebe,Diesel,5.2,39000.0,Sports-Line AWD/1. Hand/TOP/2000kg Anhängerkupp,Gebrauchtwagen
mazda,Mazda CX-5,blau,12/2018,2018,23990,110,150,Schaltgetriebe,Diesel,5.2,64123.0,Exclusive-Line,Gebrauchtwagen
peugeot,Peugeot 3008,grau,05/2017,2017,20500,96,131,Schaltgetriebe,Benzin,5.1,37800.0,PureTech 130 Stop & Start Allure/AHK/Restgarantie,Gebrauchtwagen
audi,Audi Q5,schwarz,04/2009,2009,14600,155,211,Automatik,Benzin,8.6,143200.0,2.0 TFSI quattro S tronic,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLS 63 AMG,weiß,05/2016,2016,69900,430,585,Automatik,Benzin,12.3,82350.0,4Matic Speedshift 7G-TRONIC,Gebrauchtwagen
ford,Ford Kuga,grau,05/2018,2018,20950,129,175,Automatik,Benzin,9.0,79052.0,ST-Line Anhängerkupplung,Gebrauchtwagen
audi,Audi Q2,silber,08/2022,2022,64950,110,150,Automatik,Diesel,4.7,18733.0,35 TDI quattro S-tronic advanced LED/Navi,junger Gebrauchtwagen
renault,Renault Grand Scenic,schwarz,02/2019,2019,21950,103,140,Automatik,Benzin,5.5,53846.0,1.3 TCe 140 Limited GPF Bluetooth,Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLA 200,silber,05/2021,2021,34760,120,163,Automatik,Benzin,6.6,29679.0,SB AMG Night Pano LED  Kam 360° Ambie 19,junger Gebrauchtwagen
peugeot,Peugeot 208,rot,08/2022,2022,30997,74,101,Schaltgetriebe,Benzin,4.3,500.0,Allure Pack PureTech 100 Keyless Sitzheizung,junger Gebrauchtwagen
volkswagen,Volkswagen Caddy,weiß,11/2017,2017,18500,110,150,Schaltgetriebe,Diesel,4.9,100000.0,PKW Trendline BMT*KLIMA*NAVI*PDC*5-SI*AHK*,Gebrauchtwagen
opel,Opel Corsa,blau,11/2006,2006,1750,44,60,Schaltgetriebe,Benzin,5.6,197235.0,D Edition Klima,Gebrauchtwagen
kia,Kia Picanto,weiß,06/2021,2021,13450,62,84,Schaltgetriebe,Benzin,4.8,19013.0,1.2 DreamTeam NAVI Sitzhzg. 8-fach,junger Gebrauchtwagen
ford,Ford Focus,weiß,07/2019,2019,19790,110,150,Automatik,Benzin,5.9,56800.0,Lim. ST-Line 1.5 EcoBoost Automatik,Gebrauchtwagen
bmw,BMW X5,weiß,04/2016,2016,36000,190,258,Automatik,Diesel,7.0,138000.0,xDrive30d Sport-Aut.,Gebrauchtwagen
volkswagen,Volkswagen T-Roc,gold,05/2021,2021,25450,110,150,Schaltgetriebe,Benzin,5.3,19000.0,United*ACC/SHZ/LANE-ASSIST/CARPLAY/KAMERA*,junger Gebrauchtwagen
audi,Audi A6,schwarz,02/2014,2014,16499,230,313,Automatik,Diesel,6.4,232720.0,Avant 3.0 TDI quattro Abstandstempomat Standh,Gebrauchtwagen
audi,Audi S6,schwarz,04/2000,2000,4500,250,340,Automatik,Benzin,14.2,394000.0,A3 1.8 T Ambition,Gebrauchtwagen
kia,Kia Sportage,schwarz,12/2021,2021,33950,130,177,Automatik,Benzin,7.4,13600.0,1.6T DCT | GT Line | Tech | LED | GD,junger Gebrauchtwagen
volkswagen,Volkswagen Golf Variant,silber,08/2007,2007,2296,77,105,Schaltgetriebe,Diesel,5.2,217000.0,1.9 TDI,Gebrauchtwagen
skoda,Skoda Scala,blau,06/2020,2020,17490,85,116,Schaltgetriebe,Diesel,4.0,88500.0,1.6 TDI DPF Ambition Android Auto,junger Gebrauchtwagen
kia,Kia Rio,rot,12/2018,2018,14990,73,99,Schaltgetriebe,Benzin,5.5,77729.0,1.4  Dream Team Shz Lhz KlimAt Alu16 EU6d-T,Gebrauchtwagen
seat,SEAT Ibiza,grau,04/2023,2023,31850,110,150,Automatik,Benzin,5.0,50.0,IBIZA 1.5 TSI 110kW FR Pro *SOFORT+AHK+ESD+LED,Jahreswagen
audi,Audi A4,grau,04/2011,2011,6999,105,143,Automatik,Diesel,4.9,169800.0,2.0 TDI 105kW Multitronic Ambiente Avant,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLA 180,silber,01/2018,2018,25880,90,122,Automatik,Benzin,5.6,39800.0,URBAN+AHK+LED+EASYP.+NAVI+BUSINESS+SITZH Navi,Gebrauchtwagen
audi,Audi Q8,schwarz,02/2019,2019,74980,210,286,Automatik,Diesel,6.8,38351.0,50 TDI 3x S LINE ACC+KAMER+HEADUP+PANO+MATRIX,Gebrauchtwagen
volkswagen,Volkswagen Golf,blau,02/2019,2019,15399,85,116,Schaltgetriebe,Diesel,4.1,105000.0,VII Lim. Join 1.6 TDI ACC~NAVI~SHZ~PDC~,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 350,schwarz,12/2015,2015,18000,173,235,Automatik,Diesel,5.1,230000.0,BlueTEC 9G-TRONIC,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 220,silber,06/2018,2018,16990,143,194,Automatik,Diesel,4.9,350000.0,E -Klasse T-Modell E 220 d,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLC 220,blau,07/2017,2017,28490,125,170,Automatik,Diesel,5.0,96874.0,d 4M Navi Kamera SHZ Klima PTS,Gebrauchtwagen
ford,Ford Fiesta,blau,05/2020,2020,34950,103,140,Schaltgetriebe,Benzin,4.9,35603.0,1.0 EcoBoost S&S VIGNALE,junger Gebrauchtwagen
peugeot,Peugeot 3008,schwarz,01/2022,2022,35990,96,131,Automatik,Benzin,5.0,1000.0,PureTech 130 Stop & Start GPF EAT8 Allure Pack,junger Gebrauchtwagen
opel,Opel Corsa,weiß,06/2019,2019,9450,51,69,Schaltgetriebe,Benzin,5.6,47000.0,E Selection Klima/Tempomat/HU+AU neu,Gebrauchtwagen
skoda,Skoda Kodiaq,blau,05/2023,2023,40395,110,150,Automatik,Benzin,7.2,10.0,"Style 1.5 TSI DSG Style, AHK, Navi, el. Klappe,...",Neuwagen
seat,SEAT Ibiza,grau,03/2023,2023,15999,59,80,Schaltgetriebe,Benzin,4.8,10.0,1.0 MPI STYLE VIRTUAL LED CARPLAY,Neuwagen
volkswagen,Volkswagen Caddy,grün,11/2018,2018,27499,96,131,Schaltgetriebe,Benzin,6.7,45325.0,1.4 TSI Alltrack NAVI AHK STHZ LANE ACC,Gebrauchtwagen
volvo,Volvo XC60,weiß,10/2019,2019,42990,140,190,Automatik,Diesel,4.9,38000.0,R Design 2WD D4 EU6d-T AHK Navi digitales Cockpit,Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLA 220,grau,11/2015,2015,22000,130,177,Automatik,Diesel,4.6,153000.0,CLA Shooting Brake 220 (CDI) d 4Matic 7G-DCT Urban,Gebrauchtwagen
volkswagen,Volkswagen up!,schwarz,06/2019,2019,14990,85,116,Schaltgetriebe,Benzin,4.8,34798.0,GTI / 5 Türen / incl. Garantie /,Gebrauchtwagen
volkswagen,Volkswagen Golf Variant,rot,06/2018,2018,15499,85,116,Automatik,Diesel,4.0,132500.0,1.6 TDI DSG Join*Front-Assist*Navi*1Hand*,Gebrauchtwagen
fiat,Fiat 500,rot,06/2019,2019,16950,51,69,Schaltgetriebe,Benzin,5.3,29188.0,1.2 8V Pop Star Klimaanlage EURO 6d,Gebrauchtwagen
porsche,Porsche Macan,schwarz,08/2018,2018,59990,309,420,Automatik,Benzin,8.8,23190.0,S *420PS PP Performance Tuning* BOSE XENON,Gebrauchtwagen
toyota,Toyota,grau,03/2009,2009,5899,50,68,Automatik,Benzin,4.6,148000.0,Aygo City 1.0/2.HND/SCKHFT/AUTMTK/KLIMA/EL.FENST,Gebrauchtwagen
skoda,Skoda Superb,schwarz,04/2019,2019,25899,140,190,Automatik,Diesel,6.1,49000.0,Combi 2.0 TDI DSG Sportline,Gebrauchtwagen
fiat,Fiat Fiorino,weiß,03/2023,2023,17990,59,80,Schaltgetriebe,Diesel,5.0,99.0,KAWA SX 1.3 MJET 80PS KLIMA PDC TRENNWAND,Jahreswagen
mazda,Mazda CX-3,schwarz,08/2016,2016,15490,88,120,Schaltgetriebe,Benzin,5.9,75345.0,SKYACTIV-G 120 FWD 6GS AL-SPORTS NAV,Gebrauchtwagen
mazda,Mazda 3,grau,10/2019,2019,19990,85,116,Schaltgetriebe,Diesel,4.2,84364.0,116PS Selection I-ACTIVSENSE-P+360°-KAMERA+APPLECA,Gebrauchtwagen
mini,MINI Cooper Clubman,rot,07/2021,2021,28850,100,136,Automatik,Benzin,6.1,8400.0,"Classic Trim 18""/Pano/Navi/Excite Pano.-Dach/LED",junger Gebrauchtwagen
ford,Ford S-Max,silber,04/2019,2019,19599,121,165,Schaltgetriebe,Benzin,7.4,132600.0,Titanium*7 SITZE*VOLL*TOP-ZUSTAND*GARANTIE,Gebrauchtwagen
toyota,Toyota Proace,braun,05/2022,2022,52880,130,177,Automatik,Diesel,7.4,4900.0,"2,0 D-4D L1 (8-Si.) Autm. Verso Team-D, AHK, Navi",junger Gebrauchtwagen
bmw,BMW 320,grau,06/2009,2009,11999,125,170,Schaltgetriebe,Benzin,6.4,76000.0,i Limousine erst 76Tkm,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLC 250,silber,09/2018,2018,27950,150,204,Automatik,Diesel,6.1,147500.0,d 4Matic**9-G-Tronic**Mod. 2019**1. Hand,Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLA 250,silber,06/2015,2015,26199,155,211,Automatik,Benzin,6.6,53639.0,211PS Shooting Brake Memory Sitz Leder,Gebrauchtwagen
bmw,BMW X1,schwarz,12/2009,2009,7450,130,177,Schaltgetriebe,Diesel,5.3,219800.0,Baureihe 20d**NAVI*PDC*AHK*SITZHZ**,Gebrauchtwagen
volkswagen,Volkswagen T-Cross,blau,01/2023,2023,33980,110,150,Automatik,Benzin,6.0,11000.0,1.5 TSI R-Line LED*NAVI*ACC*KEYLESS*KAMERA,Jahreswagen
audi,Audi A4,silber,03/2003,2003,1900,96,131,Schaltgetriebe,Diesel,5.7,348000.0,Avant 1.9 TDI  Alu/131PS/1.Hand,Gebrauchtwagen
hyundai,Hyundai i10,grün,06/2023,2023,15490,49,67,Schaltgetriebe,Benzin,4.8,1000.0,MJ23 1.0 M/T Connect & Go Klima Navi Sitzheizung,Jahreswagen
mercedes-benz,Mercedes-Benz E 350,silber,04/2009,2009,17500,170,231,Automatik,Diesel,7.1,187000.0,CDI * VOLLAUSSTATTUNG * MASSAGE * MEMORY *,Gebrauchtwagen
renault,Renault Megane,grau,01/2017,2017,12990,74,101,Schaltgetriebe,Benzin,5.4,72351.0,IV Lim. 5-trg. Intens Klimaautom. Navi uvm.,Gebrauchtwagen
toyota,Toyota Yaris,rot,10/2017,2017,12900,82,111,Schaltgetriebe,Benzin,5.0,31000.0,"1.8 VVT-i Hybrid Automatik Navigation,17"",MP3,USB",Gebrauchtwagen
mini,MINI Cooper S,grau,05/2019,2019,29750,141,192,Automatik,Benzin,5.7,34955.0,Cabrio Navi DSG Leder Tempom.aktiv Bluetooth MP3 S,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLE 400,silber,01/2023,2023,99499,243,330,Automatik,Diesel,8.3,10744.0,d 4M AMG Night+MBUX+M-LED+AHK+Pano+360°K,Jahreswagen
mercedes-benz,Mercedes-Benz C 200,weiß,06/2021,2021,42900,135,184,Automatik,Benzin,6.4,14800.0,C 200 Cabrio 9G AMG-Line NIGHT Kamera Spur Nav Dis,junger Gebrauchtwagen
audi,Audi A5,weiß,04/2011,2011,16500,155,211,Schaltgetriebe,Benzin,6.8,178000.0,A5 Cabrio 2.0 TFSI S-Line,Gebrauchtwagen
audi,Audi A5,braun,04/2012,2012,17900,130,177,Schaltgetriebe,Diesel,5.4,84990.0,Cabriolet 2.0 TDI quattro S-Line,Gebrauchtwagen
audi,Audi A3,schwarz,05/2009,2009,8940,92,125,Schaltgetriebe,Benzin,6.1,125000.0,Sportback 1.4 T Attraction 1. Hand,Gebrauchtwagen
volvo,Volvo XC60,schwarz,12/2022,2022,52350,145,197,Automatik,Benzin,7.0,2323.0,Plus Dark B4 Benzin Panorama. ACC BLIS LED,junger Gebrauchtwagen
skoda,Skoda Karoq,weiß,03/2021,2021,25999,110,150,Schaltgetriebe,Benzin,5.3,46100.0,1.5 TSI Sportline Navi/LED/Kamera/1.Hand,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz SLK 200,schwarz,04/2000,2000,7500,100,136,Automatik,Benzin,9.1,74520.0,CDI Debesta Bestattungswagen/Leichenwagen,Gebrauchtwagen
volvo,Volvo XC90,schwarz,05/2016,2016,30900,140,190,Automatik,Diesel,5.2,181250.0,D4 Geartronic Inscription 2WD D4,Gebrauchtwagen
fiat,Fiat 500,orange,06/2022,2022,14980,52,71,Schaltgetriebe,Benzin,4.1,10.0,Cult 1.0 Mild Hybrid EU6d DAB Berganfahrass. Speed,junger Gebrauchtwagen
renault,Renault Kadjar,schwarz,06/2018,2018,13380,81,110,Automatik,Diesel,3.8,94506.0,1.5 dCi Collection Automatik/Kamera/Navi,Gebrauchtwagen
ford,Ford Galaxy,silber,05/2005,2005,3500,66,90,Schaltgetriebe,Diesel,6.7,172000.0,Galaxy TDI Ambiente,Gebrauchtwagen
mazda,Mazda 6,rot,03/2023,2023,40985,143,194,Automatik,Benzin,6.8,1200.0,2.5L SKYACTIV G 194 20THANNIVERSARY SUNR,Jahreswagen
audi,Audi RS3,weiß,08/2012,2012,31000,302,411,Automatik,Benzin,9.1,78500.0,Sportback S tronic,Gebrauchtwagen
seat,SEAT Leon,schwarz,05/2018,2018,20670,132,179,Automatik,Benzin,5.8,44900.0,FR 1.8 TSI DSG ACC LED NAVI SHZ PDC,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 350,grau,03/2010,2010,12999,170,231,Automatik,Diesel,6.8,165375.0,CDI DPF BlueEFFICIENCY 7G-TRONIC Elegance,Gebrauchtwagen
opel,Opel Mokka X,grau,05/2017,2017,13880,100,136,Schaltgetriebe,Diesel,5.4,117000.0,1.6 D (CDTI ecoFLEX) 4x4 Innovation,Gebrauchtwagen
renault,Renault Kadjar,rot,09/2017,2017,15690,96,131,Schaltgetriebe,Benzin,5.7,75002.0,Collection TCe 130 KLIMA PDC SHZ NAVI,Gebrauchtwagen
skoda,Skoda Roomster,blau,04/2007,2007,5800,77,105,Automatik,Benzin,7.7,100000.0,Automatik *8xBereift *Klima,Gebrauchtwagen
seat,SEAT Leon,grau,05/2014,2014,15850,103,140,Schaltgetriebe,Benzin,5.3,73900.0,"ST 1,4TSI FR 1.Hand Navi vieleExtras Alu18""",Gebrauchtwagen
volvo,Volvo V60,grau,11/2017,2017,9990,88,120,Schaltgetriebe,Diesel,3.7,205000.0,Kinetic Kombi,Gebrauchtwagen
ford,Ford Transit Custom,weiß,04/2016,2016,16660,74,101,Schaltgetriebe,Diesel,6.5,82940.0,250 L1 City Light / Radio / Bluetooth / MwSt.,Gebrauchtwagen
volkswagen,Volkswagen Golf,silber,11/2012,2012,10990,63,86,Schaltgetriebe,Benzin,4.9,101850.0,VI Cabriolet Basis,Gebrauchtwagen
renault,Renault Trafic,weiß,06/2021,2021,21690,88,120,Schaltgetriebe,Diesel,5.6,65000.0,"Kasten L2H1 3,0t Komfort - PDC - KLIMA",junger Gebrauchtwagen
opel,Opel Mokka,weiß,02/2022,2022,29990,96,131,Automatik,Benzin,6.0,5000.0,1.2 DI Turbo Automatik GS Line Sondermodel,junger Gebrauchtwagen
opel,Opel Insignia,blau,07/2017,2017,20500,121,165,Automatik,Benzin,6.2,77935.0,Sports Tourer 1.5 Direct InjectionT Aut Business I,Gebrauchtwagen
volvo,Volvo XC60,schwarz,11/2019,2019,33990,140,190,Automatik,Diesel,4.9,83800.0,D4 2WD R-Design,Gebrauchtwagen
bmw,BMW 325,blau,08/2011,2011,16300,160,218,Schaltgetriebe,Benzin,7.2,109000.0,325i Coupe,Gebrauchtwagen
audi,Audi A5,blau,07/2015,2015,24900,180,245,Automatik,Diesel,5.7,79600.0,3.0 TDI quattro Sportback|Xenon|Navi|SHZ|PDC,Gebrauchtwagen
mercedes-benz,Mercedes-Benz ML 350,silber,07/2005,2005,19990,173,235,Automatik,Benzin,12.7,66000.0,ML350 Final Edition+2.Hand+Navi+66.000KM+PDC,Gebrauchtwagen
mercedes-benz,Mercedes-Benz CLK 220,silber,07/2006,2006,8999,110,150,Schaltgetriebe,Diesel,6.5,156000.0,CDI Coupe (BM 209),Gebrauchtwagen
volkswagen,Volkswagen Touran,schwarz,05/2006,2006,6999,125,170,Automatik,Diesel,6.6,194900.0,2.0 TDI Highline Automatik Navi Klimaauto,Gebrauchtwagen
seat,SEAT Leon,grau,02/2015,2015,15670,110,150,Automatik,Diesel,4.5,137950.0,ST FR 2.0 TDI Navi l PDC l ACC l SHZ l LED l Autom,Gebrauchtwagen
volkswagen,Volkswagen Caddy,braun,01/2017,2017,17700,92,125,Schaltgetriebe,Benzin,5.9,90000.0,Trendline BMT PKW,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLC 200,blau,12/2021,2021,48780,145,197,Automatik,Benzin,7.6,9171.0,4M AMG LED+PANO+KEYLESS+PTS+Spur Paket+S,junger Gebrauchtwagen
hyundai,Hyundai i20,schwarz,05/2023,2023,31090,150,204,Schaltgetriebe,Benzin,7.0,620.0,1.6 T-GDI 150kW N Performance Bose SOFORT,Jahreswagen
toyota,Toyota Verso-S,schwarz,07/2011,2011,4590,66,90,Schaltgetriebe,Diesel,4.3,179650.0,Cool 1.HAND! TÜVNEU!,Gebrauchtwagen
nissan,Nissan Qashqai,silber,02/2018,2018,17480,85,116,Schaltgetriebe,Benzin,5.6,52663.0,N-Connecta 1.2 DIG-T Navi Keyless e-Sitze Rückfahr,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLC 43 AMG,schwarz,08/2019,2019,54890,270,367,Automatik,Benzin,10.6,39916.0,4Matic LED AHK Burmester SKR&WKR Navi,Gebrauchtwagen
audi,Audi Q3,silber,12/2016,2016,22500,110,150,Automatik,Diesel,5.0,94800.0,2.0 TDI quattro S tronic,Gebrauchtwagen
volkswagen,Volkswagen Golf,silber,02/2008,2008,2550,59,80,Schaltgetriebe,Benzin,6.9,298000.0,1.4 United,Gebrauchtwagen
opel,Opel Corsa,weiß,04/2016,2016,9990,74,101,Schaltgetriebe,Benzin,5.1,85000.0,"E Color Ed. 1.4 Turbo ecoFlex*PDC*SHZ*17""",Gebrauchtwagen
opel,Opel Crossland X,silber,05/2017,2017,18470,81,110,Automatik,Benzin,5.3,43978.0,1.2 INNOVATION Aut. *HUD*KAMERA*LED*NAVI*,Gebrauchtwagen
skoda,Skoda Superb,rot,08/2019,2019,27400,110,150,Automatik,Benzin,7.2,33900.0,Combi 1.5 TSI DSG Sportline,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 220,schwarz,12/2018,2018,35800,143,194,Automatik,Diesel,4.6,78891.0,d Cp. AMG-LINE LED_ILS+KAMERA+SPUR+NAVI,Gebrauchtwagen
ford,Ford Fiesta,blau,12/2013,2013,6300,44,60,Schaltgetriebe,Benzin,5.2,79000.0,1.25 Trend,Gebrauchtwagen
opel,Opel Adam,weiß,04/2015,2015,14270,110,150,Schaltgetriebe,Benzin,5.9,23086.0,1.4 Turbo S*PDC*SHZ*KLIMA*ALU*,Gebrauchtwagen
ford,Ford S-Max,grau,05/2020,2020,31000,140,190,Automatik,Diesel,5.7,48600.0,S-Max 2.0 EcoBlue Allrad Aut. VIGNALE,junger Gebrauchtwagen
skoda,Skoda Octavia,schwarz,09/2022,2022,37449,180,245,Schaltgetriebe,Benzin,6.9,23848.0,COMBI 2.0 TSI RS | HEAD UP | LED | NAVI,junger Gebrauchtwagen
ford,Ford Kuga,grau,12/2017,2017,24290,134,182,Automatik,Benzin,7.5,35114.0,1.5 EcoBoost 4x4 Aut. Panoramaschiebedach,Gebrauchtwagen
mazda,Mazda CX-3,braun,11/2018,2018,18790,89,121,Schaltgetriebe,Benzin,6.2,63415.0,2.0 Skyactiv-G Sports-Line *NAVI*HUD*LED*,Gebrauchtwagen
mercedes-benz,Mercedes-Benz A 180,blau,04/2022,2022,33490,100,136,Automatik,Benzin,5.3,8975.0,AMG Pano LED Night Laderaump Spurhalt-Ass,junger Gebrauchtwagen
audi,Audi A4,schwarz,07/2006,2006,5200,85,116,Schaltgetriebe,Diesel,5.9,203084.0,Avant 1.9 TDI TÜV/HU/NEU,Gebrauchtwagen
hyundai,Hyundai i40,weiß,08/2012,2012,8490,99,135,Schaltgetriebe,Benzin,6.4,168000.0,cw 5 Star Edition Wagen Nr.:022,Gebrauchtwagen
ford,Ford Fiesta,grau,07/2008,2008,2950,59,80,Automatik,Benzin,6.6,283213.0,Style Autom. / E.Fenster / Klima,Gebrauchtwagen
fiat,Fiat 500,blau,01/2023,2023,17190,51,69,Schaltgetriebe,Benzin,4.7,50.0,"1.0 Dolcevita|PANO|DAB+|CarPlay|Temp.|15""Alu",Jahreswagen
citroen,Citroen Berlingo,beige,12/2022,2022,31890,96,131,Schaltgetriebe,Diesel,5.3,10.0,Shine XL-7 BlueHDi 130,junger Gebrauchtwagen
volkswagen,Volkswagen Golf,blau,07/2013,2013,11950,90,122,Schaltgetriebe,Benzin,5.3,123060.0,VII 1.4 TSI Lim. Comfortline Navi Sitzheiz.,Gebrauchtwagen
audi,Audi A4,weiß,12/2018,2018,26999,140,190,Automatik,Diesel,4.4,90000.0,40 TDI Stronic S line LED/Standh./AHK/Virtual,Gebrauchtwagen
nissan,Nissan Micra,weiß,12/2022,2022,21190,68,92,Schaltgetriebe,Benzin,4.7,1500.0,N-SPORT 1.0L IG-T 92PS 5MT,junger Gebrauchtwagen
skoda,Skoda Octavia,beige,02/2012,2012,9429,77,105,Automatik,Diesel,4.7,79716.0,Lim Family 1.6 TDI*DSG*AHK*PDC*SHZ*RCD*,Gebrauchtwagen
mercedes-benz,Mercedes-Benz B 180,silber,05/2006,2006,2499,80,109,Schaltgetriebe,Diesel,5.6,216400.0,"CDI DPF***,2Hand,Klima***TÜV ABGELAUFEN",Gebrauchtwagen
fiat,Fiat 500,schwarz,12/2014,2014,6480,51,69,Schaltgetriebe,Benzin,5.1,149900.0,1.2 PANORAMA KLIMA 8FACH ZAHNRIEMEN NEU,Gebrauchtwagen
bmw,BMW 340,grau,06/2022,2022,59690,275,374,Automatik,Benzin,6.6,21096.0,"M340i xDrive Limousine DA PA HUD HiFi Laser 19""",junger Gebrauchtwagen
porsche,Porsche Panamera,schwarz,12/2019,2019,104800,338,460,Automatik,Benzin,10.3,29600.0,Panamera GTS,Gebrauchtwagen
audi,Audi A6,blau,02/2009,2009,7000,140,190,Schaltgetriebe,Diesel,6.2,248005.0,Avant 2.7 TDI DPF,Gebrauchtwagen
audi,Audi A4,schwarz,12/2008,2008,2800,118,160,Schaltgetriebe,Benzin,7.2,302000.0,Avant 1.8 TFSI Attraction,Gebrauchtwagen
dacia,Dacia Duster,grau,09/2022,2022,21990,67,91,Schaltgetriebe,Benzin,5.6,20.0,Prestige  SHZ Klimaauto Keyless-Entry Navi Mult...,junger Gebrauchtwagen
volkswagen,Volkswagen Tiguan,grau,10/2012,2012,11500,90,122,Schaltgetriebe,Benzin,6.5,137200.0,BMT Sport & Style,Gebrauchtwagen
opel,Opel Grandland X,grau,03/2020,2020,23000,96,131,Schaltgetriebe,Diesel,3.9,20000.0,Grandland X 1.5 D Start/Stop Ultimate,junger Gebrauchtwagen
renault,Renault Scenic,schwarz,09/2018,2018,18680,103,140,Schaltgetriebe,Benzin,5.7,43344.0,IV Grand Intens*S-HEFT*NAVI*7-SITZ*,Gebrauchtwagen
volkswagen,Volkswagen Touareg,schwarz,07/2003,2003,4300,128,174,Schaltgetriebe,Diesel,9.8,258664.0,Cabriolet 1.4,Gebrauchtwagen
skoda,Skoda Kamiq,weiß,03/2023,2023,26480,81,110,Schaltgetriebe,Benzin,5.4,5000.0,Tour 1.0 TSI Klima Rückfahrkamera Kurvenlicht,Jahreswagen
volkswagen,Volkswagen Taigo,grün,06/2022,2022,25640,81,110,Automatik,Benzin,6.0,8600.0,1.0 TSI DSG Life *LED*ACC*APPCONNECT*,junger Gebrauchtwagen
opel,Opel Corsa,weiß,03/2011,2011,5190,64,87,Schaltgetriebe,Benzin,5.7,143800.0,"TÜV Neu Klimaautomatik Sitz,- Lenkradheizung",Gebrauchtwagen
volkswagen,Volkswagen Caddy,schwarz,09/2011,2011,12950,75,102,Automatik,Diesel,5.7,111000.0,1.6 TDI (5-Si.) DSG Trendline,Gebrauchtwagen
volkswagen,Volkswagen Golf Sportsvan,blau,07/2014,2014,14795,110,150,Schaltgetriebe,Benzin,5.4,62100.0,1.4TSi Comfortline *NAVI.PARKASSIS,Gebrauchtwagen
audi,Audi A1,gelb,07/2022,2022,27200,81,110,Automatik,Benzin,4.9,10060.0,30 TFSI S tr. PDC VIRTUAL DAB SITZH,junger Gebrauchtwagen
skoda,Skoda Octavia,silber,12/2018,2018,19790,85,116,Automatik,Benzin,6.5,53200.0,Combi 1.0 TSI DSG Ambition NAVI uvm.,Gebrauchtwagen
bmw,BMW X1,blau,12/2011,2011,13399,110,150,Automatik,Benzin,8.4,114000.0,Baureihe X1 sDrive 18i,Gebrauchtwagen
bmw,BMW 318,schwarz,09/2002,2002,2999,105,143,Schaltgetriebe,Benzin,7.6,208900.0,Baureihe 3 Touring 318i - TÜV 12/23,Gebrauchtwagen
renault,Renault Twingo,schwarz,07/2010,2010,3999,55,75,Schaltgetriebe,Benzin,5.1,116000.0,1.2 LEV 16V 75 Night,Gebrauchtwagen
seat,SEAT Tarraco,grau,06/2019,2019,25949,110,150,Automatik,Diesel,5.6,99204.0,"4Drive 2.0 TDI DSG, Kamera, Navi, 1.Hand",Gebrauchtwagen
audi,Audi Q2,rot,04/2019,2019,22900,85,116,Automatik,Diesel,4.8,75000.0,30 TDI Sport VIRTUEL/LEDER/KAMERA/AUTOMATIK,Gebrauchtwagen
hyundai,Hyundai i30,weiß,04/2019,2019,25980,202,275,Schaltgetriebe,Benzin,7.8,42500.0,2.0 N Performance -Navi-Komfort-Pano  2.0 Turb,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 220,blau,11/2002,2002,1500,105,143,Automatik,Diesel,6.3,325000.0,T Elegance Automatik läuft in Notporgramm,Gebrauchtwagen
